state,tracts,lnr,cnr,dens,block_ft,circuity,pedshed
06,9110,1.3531,0.7869,459.0619,140.6709,1.525,0.0048
48,6885,1.3742,0.8148,283.7941,168.9706,1.5114,0.0038
36,5350,1.4047,0.8198,627.265,96.6749,1.3972,0.0059
12,5104,1.3761,0.8073,331.4842,145.8727,1.5634,0.0038
42,3445,1.3034,0.756,252.4916,181.4436,1.4957,0.0035
17,3264,1.4209,0.8306,428.3339,129.3274,1.4202,0.0051
39,3162,1.3086,0.7532,249.5006,159.0945,1.4971,0.0034
26,2972,1.3523,0.7839,328.6407,135.3527,1.4744,0.0039
13,2791,1.2382,0.7082,128.4629,207.6083,1.6282,0.0021
37,2659,1.211,0.6779,104.5745,203.8862,1.6222,0.002
51,2182,1.2782,0.7234,238.7146,170.1247,1.6083,0.0031
34,2159,1.3304,0.7784,331.8852,161.4895,1.4928,0.0043
04,1763,1.3694,0.8125,339.4758,158.4892,1.5542,0.0042
53,1747,1.299,0.7364,352.8583,150.4897,1.5566,0.0038
47,1701,1.2118,0.6773,89.826,226.4288,1.5964,0.0018
18,1694,1.3001,0.7502,186.6803,175.9236,1.4816,0.0029
29,1654,1.3062,0.7577,148.2759,196.542,1.5311,0.0025
25,1556,1.3178,0.7633,377.2369,140.8301,1.4662,0.0041
55,1530,1.363,0.7842,208.8256,157.3064,1.4207,0.0031
27,1503,1.3291,0.7561,195.6913,180.3937,1.4641,0.003
24,1462,1.3041,0.7442,344.469,141.7118,1.5945,0.0038
08,1442,1.3734,0.797,412.7032,137.5517,1.5155,0.0048
01,1436,1.2326,0.7033,49.0508,276.9423,1.534,0.0014
22,1342,1.2914,0.7522,105.7571,240.6217,1.5004,0.0021
21,1305,1.1937,0.6644,40.4354,265.2625,1.632,0.0013
45,1285,1.2429,0.7142,78.7433,238.5228,1.5285,0.0018
40,1203,1.3029,0.76,130.5834,203.6614,1.5075,0.0023
41,995,1.2853,0.7327,309.4893,162.2039,1.5483,0.0037
72,928,1.1711,0.6415,130.4366,235.1755,1.7979,0.0021
19,895,1.3286,0.7585,69.6537,217.7559,1.3925,0.0018
28,871,1.2165,0.6914,34.3835,331.2976,1.5236,0.0013
20,829,1.371,0.7884,192.3648,185.8776,1.4123,0.003
05,821,1.2292,0.6959,37.2405,296.7913,1.5593,0.0012
32,776,1.3687,0.8,495.9029,132.2523,1.5779,0.0047
49,716,1.4214,0.8123,590.6101,87.0686,1.4852,0.0062
35,611,1.3567,0.7876,127.1093,200.3215,1.5013,0.0023
09,558,1.2862,0.7374,240.2719,139.3077,1.5152,0.0031
31,553,1.3945,0.8079,241.8326,173.5646,1.4081,0.0038
54,545,1.1429,0.6209,25.7464,298.6368,1.7007,0.0009
16,456,1.3449,0.7735,198.466,172.4401,1.4927,0.003
15,430,1.2467,0.6968,233.5392,167.6804,1.6323,0.0027
23,395,1.1529,0.6313,22.0397,299.585,1.514,0.001
33,349,1.2099,0.6809,92.3832,179.6621,1.4965,0.0019
30,319,1.2856,0.733,16.3289,304.8196,1.4874,0.0008
10,259,1.3175,0.7617,199.1765,170.3379,1.5693,0.003
46,242,1.3307,0.7455,23.8653,253.3301,1.3904,0.001
44,240,1.3383,0.7829,369.4083,162.0054,1.4745,0.0044
38,228,1.3369,0.7547,51.1453,275.356,1.3543,0.0015
11,206,1.5554,0.9012,2215.9783,45.949,1.2964,0.0133
50,193,1.1613,0.6402,19.1166,275.9547,1.52,0.0008
02,165,1.2552,0.7036,46.8092,230.1575,1.558,0.0012
56,160,1.3235,0.7678,52.0045,241.8561,1.4886,0.0013
