state,size,median
11,206,0.0826
49,688,0.3577
36,5228,0.4404
38,155,0.4795
17,3180,0.4824
31,508,0.5145
20,760,0.5317
55,1452,0.538
16,410,0.5404
08,1348,0.5523
26,2885,0.5523
35,525,0.5593
46,179,0.5624
19,852,0.58
32,734,0.5853
30,244,0.5885
27,1384,0.5937
56,118,0.5942
12,4938,0.608
48,6467,0.6201
40,1123,0.6244
18,1670,0.6279
29,1562,0.6301
04,1659,0.6345
53,1648,0.6366
06,8826,0.6371
39,3108,0.6391
25,1546,0.6401
09,556,0.6618
41,908,0.6631
24,1432,0.6695
50,188,0.6781
44,238,0.6828
51,2118,0.6849
05,681,0.6873
33,346,0.6887
42,3353,0.6906
02,154,0.6915
34,2143,0.694
22,1200,0.6976
10,252,0.7008
01,1256,0.7035
45,1163,0.7089
47,1540,0.7101
21,1105,0.7118
28,675,0.7152
23,341,0.7174
37,2559,0.7223
13,2542,0.7226
54,452,0.7434
15,408,0.7549
72,856,0.8405
