county_fips,county,GEOID,n_nodes,n_edges_dir,uoi_connectivity,uoi_efficiency,uoi_accessibility,uoi_equity
115,St. Clair Co. (sprawl),01115040104,841,1970,1.1879,0.9084,54.83,0.5657
115,St. Clair Co. (sprawl),01115040105,1635,3530,1.0924,0.8905,23.576,0.5758
115,St. Clair Co. (sprawl),01115040107,1064,2248,1.0714,0.9225,38.068,0.5573
115,St. Clair Co. (sprawl),01115040108,1169,2416,1.0496,0.9261,30.204,0.7054
115,St. Clair Co. (sprawl),01115040109,657,1290,0.9954,0.9171,14.944,0.6318
115,St. Clair Co. (sprawl),01115040110,1157,2537,1.1167,0.9057,35.748,0.6019
115,St. Clair Co. (sprawl),01115040206,468,1015,1.1068,0.9231,12.3846,0.6803
115,St. Clair Co. (sprawl),01115040207,978,2260,1.1728,0.928,40.044,0.5291
115,St. Clair Co. (sprawl),01115040208,593,1572,1.3423,0.9284,93.72,0.675
115,St. Clair Co. (sprawl),01115040209,1457,3424,1.1887,0.8952,39.688,0.448
115,St. Clair Co. (sprawl),01115040210,509,1074,1.0786,0.9169,13.684,0.6688
115,St. Clair Co. (sprawl),01115040211,690,1780,1.3072,0.9326,46.364,0.637
115,St. Clair Co. (sprawl),01115040212,472,1065,1.1525,0.9057,19.6186,0.6741
115,St. Clair Co. (sprawl),01115040213,905,1968,1.1149,0.9036,25.016,0.6553
115,St. Clair Co. (sprawl),01115040301,945,1965,1.055,0.9106,11.764,0.6536
115,St. Clair Co. (sprawl),01115040302,627,1424,1.1467,0.9055,14.864,0.4515
115,St. Clair Co. (sprawl),01115040401,1176,2643,1.1378,0.9262,17.544,0.5016
115,St. Clair Co. (sprawl),01115040402,1124,2422,1.0988,0.9224,15.286,0.5629
115,St. Clair Co. (sprawl),01115040503,1905,4190,1.1176,0.9044,33.884,0.5646
115,St. Clair Co. (sprawl),01115040504,1461,3034,1.052,0.9189,40.908,0.4938
115,St. Clair Co. (sprawl),01115040505,618,1280,1.0599,0.9021,25.352,0.6489
115,St. Clair Co. (sprawl),01115040506,1436,3005,1.0599,0.9311,27.484,0.6864
115,St. Clair Co. (sprawl),01115040507,740,1532,1.0527,0.9149,23.276,0.681
115,St. Clair Co. (sprawl),01115040508,698,1428,1.0387,0.8895,17.294,0.6216
081,Lee Co. / Auburn (college town),01081040201,855,2472,1.455,0.9324,412.926,0.7869
081,Lee Co. / Auburn (college town),01081040202,912,2539,1.4046,0.9135,157.882,0.7143
081,Lee Co. / Auburn (college town),01081040300,469,1345,1.4542,0.9256,211.3603,0.7365
081,Lee Co. / Auburn (college town),01081040401,573,1535,1.3595,0.8999,93.888,0.8323
081,Lee Co. / Auburn (college town),01081040402,545,1386,1.2789,0.94,131.15,0.7442
081,Lee Co. / Auburn (college town),01081040403,432,1162,1.3634,0.9259,87.5417,0.8125
081,Lee Co. / Auburn (college town),01081040501,573,1332,1.199,0.921,37.684,0.6025
081,Lee Co. / Auburn (college town),01081040502,586,1417,1.2321,0.8299,33.878,0.6094
081,Lee Co. / Auburn (college town),01081040602,938,2318,1.2537,0.9033,77.228,0.6259
081,Lee Co. / Auburn (college town),01081040603,297,746,1.2727,0.9086,59.4949,0.7644
081,Lee Co. / Auburn (college town),01081040605,315,776,1.2571,0.9329,39.5937,0.6622
081,Lee Co. / Auburn (college town),01081040606,502,1281,1.2928,0.9003,157.03,0.6378
081,Lee Co. / Auburn (college town),01081040607,328,775,1.1921,0.8906,26.5183,0.6322
081,Lee Co. / Auburn (college town),01081040700,2593,7486,1.4562,0.9318,707.896,0.6712
081,Lee Co. / Auburn (college town),01081040801,205,526,1.2976,0.8946,136.7805,0.8897
081,Lee Co. / Auburn (college town),01081040802,333,961,1.4535,0.9542,304.8468,0.9488
081,Lee Co. / Auburn (college town),01081040901,641,1641,1.3058,0.9334,56.122,0.7117
081,Lee Co. / Auburn (college town),01081040903,431,1218,1.42,0.9308,246.2413,0.828
081,Lee Co. / Auburn (college town),01081040904,889,2250,1.288,0.9011,142.092,0.7766
081,Lee Co. / Auburn (college town),01081041001,1121,2588,1.1668,0.934,47.494,0.5383
081,Lee Co. / Auburn (college town),01081041002,1013,2248,1.1204,0.9072,11.124,0.5304
081,Lee Co. / Auburn (college town),01081041101,1005,2733,1.3741,0.9127,161.068,0.6052
081,Lee Co. / Auburn (college town),01081041102,684,1776,1.3231,0.8955,136.062,0.6246
081,Lee Co. / Auburn (college town),01081041103,457,1214,1.3414,0.9273,103.3392,0.6799
081,Lee Co. / Auburn (college town),01081041104,963,2538,1.3406,0.9336,106.106,0.5249
081,Lee Co. / Auburn (college town),01081041200,795,2029,1.2994,0.9377,60.336,0.509
081,Lee Co. / Auburn (college town),01081041300,693,1940,1.4141,0.9426,136.19,0.7114
081,Lee Co. / Auburn (college town),01081041400,502,1323,1.3327,0.9215,85.942,0.7788
081,Lee Co. / Auburn (college town),01081041600,1281,3655,1.445,0.9233,237.022,0.541
081,Lee Co. / Auburn (college town),01081041701,570,1475,1.3158,0.9289,40.31,0.5606
081,Lee Co. / Auburn (college town),01081041702,291,602,1.0481,0.9458,11.9107,0.6712
081,Lee Co. / Auburn (college town),01081041703,916,2191,1.2227,0.921,39.792,0.4604
081,Lee Co. / Auburn (college town),01081041801,427,963,1.1405,0.944,9.0398,0.6228
081,Lee Co. / Auburn (college town),01081041802,310,674,1.1,0.9395,11.6645,0.5904
081,Lee Co. / Auburn (college town),01081041803,558,1195,1.086,0.938,16.632,0.5543
081,Lee Co. / Auburn (college town),01081041901,524,1134,1.105,0.911,12.884,0.5985
081,Lee Co. / Auburn (college town),01081041902,499,1103,1.1142,0.944,13.2786,0.5961
081,Lee Co. / Auburn (college town),01081041903,475,1115,1.1853,0.9115,10.4842,0.601
081,Lee Co. / Auburn (college town),01081042002,934,2187,1.1991,0.9312,39.926,0.5467
081,Lee Co. / Auburn (college town),01081042003,284,581,1.0352,0.9317,16.5,0.6149
081,Lee Co. / Auburn (college town),01081042005,354,773,1.1186,0.9378,20.4746,0.6905
081,Lee Co. / Auburn (college town),01081042006,408,985,1.2132,0.9222,35.7402,0.6703
081,Lee Co. / Auburn (college town),01081042007,172,340,1.0058,0.9199,14.4302,0.6175
081,Lee Co. / Auburn (college town),01081042008,293,621,1.0683,0.9477,17.1945,0.7044
081,Lee Co. / Auburn (college town),01081042009,173,366,1.0925,0.9052,20.5434,0.6994
081,Lee Co. / Auburn (college town),01081042101,537,1161,1.0931,0.9249,11.806,0.535
081,Lee Co. / Auburn (college town),01081042103,222,476,1.0946,0.9255,12.1081,0.517
081,Lee Co. / Auburn (college town),01081042104,819,1888,1.1648,0.9045,23.992,0.4207
033,Colbert Co. (grid),01033020100,594,1845,1.5623,0.9696,126.328,0.8029
033,Colbert Co. (grid),01033020200,394,1284,1.6371,0.954,177.0508,0.7546
033,Colbert Co. (grid),01033020300,505,1494,1.495,0.962,101.662,0.6621
033,Colbert Co. (grid),01033020400,121,321,1.405,0.9208,21.9669,0.7059
033,Colbert Co. (grid),01033020500,882,2411,1.381,0.9475,114.676,0.5029
033,Colbert Co. (grid),01033020600,593,1700,1.4486,0.9617,56.362,0.7954
033,Colbert Co. (grid),01033020703,875,2546,1.4617,0.953,128.874,0.6261
033,Colbert Co. (grid),01033020704,1068,3056,1.441,0.9593,170.138,0.638
033,Colbert Co. (grid),01033020705,635,1623,1.2898,0.9163,21.982,0.5956
033,Colbert Co. (grid),01033020706,1173,2940,1.2677,0.9498,34.038,0.5584
033,Colbert Co. (grid),01033020801,741,1643,1.1336,0.9063,12.528,0.559
