,count,mean,std,min,25%,50%,75%,max
uoi_connectivity,1435.0,1.2504,0.1241,0.9954,1.1502,1.2326,1.3336,1.7149
uoi_efficiency,1435.0,0.9225,0.0264,0.7311,0.9079,0.9246,0.9389,0.9913
uoi_accessibility,1435.0,73.5805,96.9137,3.6399,18.706,42.474,92.016,1226.676
uoi_equity,1435.0,0.6159,0.1192,0.2537,0.536,0.6259,0.7017,0.9488
circuity_avg,1435.0,1.085,0.0325,1.0088,1.065,1.0815,1.1014,1.3679
dead_end_frac,1435.0,0.2723,0.0936,0.0488,0.1953,0.2793,0.3521,0.4709
orientation_entropy,1321.0,3.2313,0.3179,1.696,3.0928,3.3297,3.4752,3.577
n_intersections,1435.0,566.1415,378.0907,13.0,316.0,484.0,701.5,3842.0
n_nodes,1435.0,853.8084,571.6679,23.0,473.5,722.0,1064.5,5195.0
reach_gini,1435.0,0.3841,0.1192,0.0512,0.2983,0.3741,0.464,0.7463
