GEOID,state,n_nodes,rhat_max,dtf
36061011203,36,111,1.031,0.0189
36005023301,36,145,1.168,0.013
36061016001,36,151,1.243,0.0138
36061015801,36,155,1.272,0.0149
36047026100,36,159,1.349,0.0035
42101036302,42,85,1.384,0.9084
36081018502,36,130,1.417,0.0132
36081011400,36,145,1.469,0.0024
36061011402,36,129,1.531,0.0155
39095007004,39,137,1.56,0.9036
01097000802,1,145,1.606,0.9033
36047026000,36,127,1.685,0.0045
06081604600,6,133,1.743,0.9182
22071003307,22,149,1.816,0.1512
36047049500,36,158,1.88,0.0102
36061022000,36,167,1.941,0.0139
36047089400,36,160,2.014,0.0062
36081001600,36,141,2.136,0.0019
36005018302,36,152,2.347,0.0108
06037542501,6,137,9.064,0.9193
36047115000,36,192,1.042,0.0022
36061005502,36,205,1.111,0.0072
36047029400,36,175,1.192,0.1781
06075016601,6,206,1.223,0.0062
36061003001,36,175,1.288,0.006
36081051600,36,192,1.34,0.0042
36047112800,36,183,1.41,0.0033
36081013000,36,198,1.469,0.0058
36081004002,36,201,1.513,0.0284
36081015600,36,190,1.601,0.0133
36047016200,36,190,1.645,0.0592
21029020501,21,190,1.679,0.9515
17031062400,17,194,1.734,0.0154
36047013200,36,170,1.756,0.0111
36061001402,36,172,1.81,0.0125
36061006800,36,205,1.89,0.0092
15003009509,15,183,1.977,0.8941
36081018402,36,209,2.066,0.0065
36081036700,36,206,2.447,0.0086
36081019600,36,203,4.165,0.0055
12103022802,12,274,1.033,0.7094
42101036202,42,223,1.178,0.8032
36047054900,36,258,1.212,0.0039
36081112900,36,277,1.275,0.002
36061013100,36,215,1.329,0.0219
42101036203,42,256,1.364,0.6016
36047006500,36,235,1.393,0.0044
36061007200,36,253,1.42,0.0286
17031300700,17,268,1.471,0.006
06037272201,6,277,1.537,0.0245
17031670100,17,264,1.58,0.0042
34017005600,34,251,1.627,0.0058
72031050811,72,234,1.705,0.794
36061004700,36,266,1.807,0.0065
06075026302,6,272,1.86,0.5127
06037291110,6,224,1.946,0.8007
34017002400,34,267,2.034,0.0043
48061014102,48,216,2.16,0.9008
36061007100,36,285,2.392,0.0286
17031301702,17,284,5.361,0.0027
36061000800,36,353,1.025,0.0701
51550020300,51,336,1.153,0.709
17031140602,17,354,1.21,0.0042
17051950900,17,337,1.251,0.7826
15003003504,15,299,1.313,0.2918
34017016800,34,286,1.355,0.0069
12095017809,12,329,1.392,0.8515
36047052700,36,308,1.43,0.0083
17031480200,17,341,1.475,0.0197
12057011708,12,344,1.519,0.6565
17031671900,17,353,1.566,0.0073
17031670400,17,305,1.604,0.0046
55079017400,55,347,1.666,0.0191
25025070202,25,342,1.755,0.0149
48215020727,48,310,1.865,0.8883
17031260800,17,325,1.946,0.0092
17031670900,17,301,1.99,0.0073
36081067100,36,293,2.092,0.0049
06019001415,6,344,2.386,0.8027
36081069702,36,351,3.483,0.0045
36081071100,36,422,1.04,0.0661
05123960500,5,448,1.161,0.8154
27123035500,27,448,1.211,0.0148
17031140302,17,384,1.244,0.0117
56037971000,56,387,1.311,0.856
36005026400,36,417,1.363,0.0058
06019002800,6,445,1.445,0.6019
33015100402,33,420,1.466,0.7245
17031031700,17,380,1.496,0.0111
12095016409,12,387,1.546,0.8949
34039032902,34,390,1.627,0.7834
17031431302,17,436,1.673,0.0126
06037670701,6,445,1.715,0.7433
37081016010,37,448,1.762,0.8332
13191110202,13,426,1.803,0.9074
12073002507,12,437,1.887,0.8151
11001008302,11,360,2.036,0.0217
17031071000,17,382,2.165,0.0064
55087011700,55,369,2.482,0.5814
17043841707,17,441,9.675,0.6168
47095960200,47,552,1.019,0.535
26125162100,26,493,1.155,0.3192
48353950300,48,553,1.235,0.5518
06099003908,6,562,1.347,0.3023
39153530402,39,532,1.376,0.6048
17031491200,17,525,1.419,0.0056
