GEOID,n_nodes,n_edges_dir,orientation_entropy,link_node_ratio,dead_end_frac,n_intersections,circuity_avg,reach_mean,reach_gini,n_reach_sources,uoi_connectivity,uoi_efficiency,uoi_accessibility,uoi_equity,status
06075010101,667,1880,3.059318259046673,1.409295352323838,0.22488755622188905,491,1.045291840696749,451.506,0.14767048056947205,500,1.409295352323838,0.9566706263902727,451.506,0.8523295194305279,ok
06075010102,62,190,1.798773887615396,1.532258064516129,0.0967741935483871,43,1.0111039357925526,61.0,0.0,62,1.532258064516129,0.989018007546525,61.0,1.0,ok
06075010201,155,432,2.347022997843714,1.3935483870967742,0.1935483870967742,108,1.0221908627234806,152.43870967741935,0.00836132090412137,155,1.3935483870967742,0.9782908813483656,152.43870967741935,0.9916386790958787,ok
06075010202,336,936,2.6495302087348516,1.3928571428571428,0.21428571428571427,246,1.0485146618484642,304.73809523809524,0.05196154414965447,336,1.3928571428571428,0.953730106393614,304.73809523809524,0.9480384558503455,ok
06075010300,265,774,2.527642606442037,1.460377358490566,0.12075471698113208,208,1.0283393183482896,251.54716981132074,0.034809367729225764,265,1.460377358490566,0.9724416660506495,251.54716981132074,0.9651906322707743,ok
06075010401,152,414,2.279944168668055,1.361842105263158,0.24342105263157895,104,1.0426397970316488,147.05263157894737,0.013068417285159933,152,1.361842105263158,0.9591040001033507,147.05263157894737,0.98693158271484,ok
06075010402,244,624,2.7023422494324425,1.278688524590164,0.27459016393442626,163,1.0755404839261948,200.30327868852459,0.09937145164850125,244,1.278688524590164,0.9297650948010446,200.30327868852459,0.9006285483514987,ok
06075010500,847,2424,3.0935317052044162,1.4309327036599764,0.1959858323494687,649,1.05723126162489,509.198,0.16482629546856048,500,1.4309327036599764,0.9458668470161111,509.198,0.8351737045314396,ok
06075010600,325,884,2.343741858735942,1.36,0.20923076923076922,237,1.0147921925481806,303.2430769230769,0.044912636727073664,325,1.36,0.9854234269274018,303.2430769230769,0.9550873632729263,ok
06075010701,137,368,2.241297704848435,1.3430656934306568,0.24087591240875914,88,1.004587964796736,124.54014598540147,0.042953693143169526,137,1.3430656934306568,0.9954329884912922,124.54014598540147,0.9570463068568305,ok
06075010702,123,336,2.4449529013096805,1.3658536585365855,0.18699186991869918,87,1.0249490344346235,122.0,-1.155354041886342e-16,123,1.3658536585365855,0.975658268268543,122.0,1.0000000000000002,ok
06075010800,199,544,2.217441503196624,1.3668341708542713,0.19095477386934673,139,1.0280912784413092,192.76381909547737,0.015603827269821161,199,1.3668341708542713,0.9726762797911306,192.76381909547737,0.9843961727301789,ok
06075010901,118,316,2.3152291869330073,1.3389830508474576,0.2288135593220339,80,1.015860468272209,115.10169491525424,0.008455857578200502,118,1.3389830508474576,0.9843871587018395,115.10169491525424,0.9915441424217994,ok
06075010902,107,302,2.158614500299632,1.411214953271028,0.14018691588785046,73,1.012876096916293,106.0,1.328117263102991e-16,107,1.411214953271028,0.9872875893157175,106.0,0.9999999999999999,ok
06075011001,91,272,2.1006706294655264,1.4945054945054945,0.12087912087912088,65,1.0059090596892135,90.0,0.0,91,1.4945054945054945,0.9941256521826742,90.0,1.0,ok
06075011002,139,382,2.1878507748611202,1.3741007194244603,0.20863309352517986,97,1.0129318046702531,128.27338129496403,0.03574607504125706,139,1.3741007194244603,0.9872332919051121,128.27338129496403,0.964253924958743,ok
06075011101,115,316,1.9798095321960933,1.373913043478261,0.19130434782608696,76,1.0190094575118263,114.0,0.0,115,1.373913043478261,0.9813451608601919,114.0,1.0,ok
06075011102,154,444,1.8552887032511072,1.4415584415584415,0.17532467532467533,113,1.0191462994588398,152.8961038961039,0.0006480820631843279,154,1.4415584415584415,0.98121339451558,152.8961038961039,0.9993519179368157,ok
06075011200,179,490,2.0494896649885734,1.3687150837988826,0.24581005586592178,123,1.083665910589149,168.56983240223462,0.02988032539761003,179,1.3687150837988826,0.9227936306092133,168.56983240223462,0.97011967460239,ok
06075011300,165,414,1.8042856397492057,1.2545454545454546,0.3393939393939394,90,1.0518654526034734,155.72121212121212,0.02646956841710483,165,1.2545454545454546,0.9506919326277888,155.72121212121212,0.9735304315828952,ok
06075011700,751,2046,2.469309238332884,1.3621837549933422,0.2729693741677763,521,1.0168137145570493,503.106,0.1584971198912357,500,1.3621837549933422,0.9834643117846087,503.106,0.8415028801087643,ok
06075011800,86,206,2.16692615938641,1.197674418604651,0.32558139534883723,52,1.0312612950498796,77.27906976744185,0.04590976212304653,86,1.197674418604651,0.9696863489399478,77.27906976744185,0.9540902378769535,ok
06075011901,65,168,1.7994942688183504,1.2923076923076924,0.2153846153846154,39,1.0057794822995363,64.0,0.0,65,1.2923076923076924,0.9942537281767545,64.0,1.0,ok
06075011902,104,298,1.624518753551017,1.4326923076923077,0.2403846153846154,70,1.012752953593424,103.0,0.0,104,1.4326923076923077,0.9874076362372735,103.0,1.0,ok
06075012001,82,230,2.107916139730667,1.4024390243902438,0.15853658536585366,54,1.0091747155085962,81.0,0.0,82,1.4024390243902438,0.9909086946317592,81.0,1.0,ok
06075012002,94,270,2.216592202255163,1.4361702127659575,0.14893617021276595,67,1.0236613720131613,93.0,-1.5117930548087238e-16,94,1.4361702127659575,0.9768855476429396,93.0,1.0000000000000002,ok
06075012100,110,308,1.9874049153525513,1.4,0.2,76,1.013061710983572,101.14545454545454,0.03667412939388493,110,1.4,0.9871066976059232,101.14545454545454,0.9633258706061151,ok
06075012202,132,376,1.9749401209751425,1.4242424242424243,0.17424242424242425,99,1.0099061345843754,131.0,0.0,132,1.4242424242424243,0.9901910343494921,131.0,1.0,ok
06075012203,43,98,2.1794892739039113,1.1395348837209303,0.3488372093023256,20,1.019865608988869,38.18604651162791,0.04529360111038727,43,1.1395348837209303,0.9805213463285968,38.18604651162791,0.9547063988896127,ok
06075012204,43,112,2.2204561031562196,1.302325581395349,0.18604651162790697,24,1.0116570881525535,42.0,0.0,43,1.302325581395349,0.9884772337493911,42.0,1.0,ok
06075012301,80,204,2.0551055585119142,1.275,0.3,46,1.021281981568652,71.3,0.04929873772791034,80,1.275,0.9791615029416619,71.3,0.9507012622720896,ok
06075012302,89,228,1.997906110733804,1.2808988764044944,0.23595505617977527,54,1.0044499780035823,88.0,0.0,89,1.2808988764044944,0.9955697365712258,88.0,1.0,ok
06075012403,52,130,2.3287874811455604,1.25,0.21153846153846154,27,1.0188130337462333,51.0,0.0,52,1.25,0.9815343609444642,51.0,1.0,ok
