pair,metric,sample,n_seg,tau,se,t,p
C-D,link_node_ratio,street-only,428,-0.03126669935110664,0.009457830511070525,-3.3059060758710492,0.0010266418456258979
C-D,link_node_ratio,all-barriers,495,-0.026832051836464137,0.008590349137143828,-3.123511211022259,0.0018919984424158724
C-D,connected_node_ratio,street-only,428,-0.0524327108378448,0.01698961584875919,-3.086162236073992,0.0021595535246019685
C-D,connected_node_ratio,all-barriers,495,-0.045900384178225964,0.015221562381352147,-3.015484417976585,0.00269777548795981
C-D,intersection_density,street-only,428,-5.502721701084852,2.1225718136690603,-2.592478457335628,0.009855634918365313
C-D,intersection_density,all-barriers,495,-4.72607077453319,1.9965271881445097,-2.3671457131146836,0.018310387855352026
C-D,median_block_length_ft,street-only,428,-8.11151373610666,3.639751348044175,-2.228590076754939,0.02636106939804475
C-D,median_block_length_ft,all-barriers,495,-7.90633200664008,3.398211047545873,-2.326615944689454,0.02038923542336491
C-D,walking_circuity,street-only,428,-0.012830417266089206,0.00899197524080042,-1.4268741764181179,0.1543469581369885
C-D,walking_circuity,all-barriers,495,-0.00622688769260212,0.008551281717872191,-0.7281817975412874,0.4668473243250158
C-D,pedshed_reach,street-only,428,-0.00019138470755296886,6.400891729333146e-05,-2.9899694549732305,0.0029513843797895115
C-D,pedshed_reach,all-barriers,495,-0.00016189054066755016,5.9443152209512165e-05,-2.723451476747968,0.006689072792971309
B-C,link_node_ratio,street-only,460,-0.014454311368940117,0.00869057597833008,-1.6632167309717898,0.09695165721363017
B-C,link_node_ratio,all-barriers,498,-0.013237900997725073,0.008414671716127519,-1.5731928047000785,0.11631052586476444
B-C,connected_node_ratio,street-only,460,-0.03507514104144466,0.015888937987793894,-2.207519537705407,0.027771726124208397
B-C,connected_node_ratio,all-barriers,498,-0.0314064981412672,0.015176667107650466,-2.0693936236787702,0.03902540815443389
B-C,intersection_density,street-only,460,-1.6184432899817947,2.036665495848188,-0.7946534633601082,0.42722579028989954
B-C,intersection_density,all-barriers,498,-1.3611357461147704,1.959253851663526,-0.6947214854058259,0.48755449998658346
B-C,median_block_length_ft,street-only,460,3.2604136229013267,2.9768194704215447,1.0952675012030952,0.27397383136754
B-C,median_block_length_ft,all-barriers,498,1.2789317047550859,2.8995581568970796,0.44107813520240485,0.6593482408425356
B-C,walking_circuity,street-only,460,-0.0009825530974654328,0.00942416157488841,-0.10425894013569766,0.9170094016272943
B-C,walking_circuity,all-barriers,498,-0.002424058498200192,0.009175072551905503,-0.2642004719294298,0.7917349660564621
B-C,pedshed_reach,street-only,460,-4.782313373590148e-05,6.24443523842746e-05,-0.7658520252016386,0.4441579992938638
B-C,pedshed_reach,all-barriers,498,-5.980455052381049e-05,6.140067176822446e-05,-0.9740048244025893,0.3305279573194903
