rank,GEOID,state,UOI_score,n_ok,n_nodes,link_node_ratio,connected_node_ratio,intersection_density,median_block_length_ft,walking_circuity,pedshed_reach,lnr_ok,cnr_ok,inter_density_ok,block_ok,circuity_ok
1,36061007300,36,0.9971,4,281,1.7758,0.973,3948.4631,27.8609,1.1625,0.0266,True,True,True,True,False
2,36061006700,36,0.9935,4,276,1.75,0.9803,3827.7277,33.9501,1.1659,0.0265,True,True,True,True,False
3,36047043100,36,0.9926,4,192,1.7396,0.983,2663.7889,27.4098,1.1582,0.0197,True,True,True,True,False
4,36047050100,36,0.9925,4,236,1.7288,0.9671,3089.622,28.5794,1.173,0.0201,True,True,True,True,False
5,36047111800,36,0.9922,4,175,1.7714,0.9878,2584.9936,28.6565,1.1822,0.02,True,True,True,True,False
6,36081019800,36,0.992,5,248,1.7621,0.9703,2855.3347,25.9252,1.2059,0.0197,True,True,True,True,True
7,53033010002,53,0.9913,5,1519,1.7123,0.9687,3887.3985,30.6365,1.2235,0.0305,True,True,True,True,True
8,36081054700,36,0.9912,5,151,1.8013,0.9929,2787.4563,26.0778,1.2142,0.0177,True,True,True,True,True
9,36061004100,36,0.991,5,321,1.7601,0.9567,3886.106,28.878,1.2125,0.0189,True,True,True,True,True
10,36047116400,36,0.991,5,198,1.8283,0.9894,2653.2817,25.7119,1.2311,0.0205,True,True,True,True,True
11,36047059100,36,0.9907,4,215,1.7349,0.9801,2655.9832,29.6654,1.16,0.0185,True,True,True,True,False
12,36047052900,36,0.9906,4,231,1.7532,0.9953,3124.4461,29.2946,1.1402,0.0156,True,True,True,True,False
13,16001000601,16,0.9905,5,1120,1.8679,0.9745,2881.3341,33.2169,1.216,0.0266,True,True,True,True,True
14,36047120000,36,0.9905,4,256,1.7461,0.9878,4181.0356,32.3688,1.1606,0.0162,True,True,True,True,False
15,36047088600,36,0.9904,4,232,1.75,0.9726,3069.5259,31.1138,1.1742,0.0177,True,True,True,True,False
16,36047112400,36,0.9904,4,223,1.7309,0.9756,2912.5698,26.2959,1.1955,0.0172,True,True,True,True,False
17,36061007700,36,0.9903,4,290,1.731,0.9854,3911.4934,37.1982,1.168,0.0203,True,True,True,True,False
18,36081067100,36,0.9903,4,293,1.7304,0.9744,3007.0921,30.4626,1.1972,0.019,True,True,True,True,False
19,36047055100,36,0.9902,5,307,1.7459,0.9667,3243.2727,27.5722,1.2192,0.0182,True,True,True,True,True
20,36047115800,36,0.9901,5,179,1.8101,0.994,2774.1338,27.5476,1.2032,0.0163,True,True,True,True,True
21,16001000602,16,0.9899,5,1572,1.8632,0.9805,3471.1384,31.1188,1.2507,0.0329,True,True,True,True,True
22,36047050900,36,0.9899,4,200,1.755,0.957,3251.4591,33.6352,1.1423,0.0197,True,True,True,True,False
23,36061005000,36,0.9897,5,240,1.7583,0.9694,3453.9813,32.2884,1.2332,0.0235,True,True,True,True,True
24,36081011400,36,0.9896,5,145,1.7448,0.9847,2803.9349,25.3576,1.2155,0.017,True,True,True,True,True
25,55079005900,55,0.9895,4,913,1.7809,0.9774,2630.0847,36.168,1.1845,0.0271,True,True,True,True,False
26,11001002201,11,0.9895,5,638,1.7602,0.982,3749.2391,39.498,1.2041,0.0267,True,True,True,True,True
27,11001002102,11,0.9893,4,1011,1.7547,0.9796,3421.328,40.2526,1.183,0.0298,True,True,True,True,False
28,36081001400,36,0.9893,5,218,1.7569,0.9851,2411.67,25.0984,1.2312,0.0209,True,True,True,True,True
29,55079004800,55,0.9892,4,1077,1.7864,0.9773,2679.701,36.6306,1.1855,0.0238,True,True,True,True,False
30,36081010200,36,0.9892,4,242,1.7603,0.9779,2676.4583,33.7648,1.1876,0.0203,True,True,True,True,False
31,36081053200,36,0.9892,4,255,1.7098,0.9712,3220.4108,29.3471,1.1866,0.0167,True,True,True,True,False
32,36081055100,36,0.9891,4,190,1.7105,0.9591,2738.0251,29.7769,1.157,0.0189,True,True,True,True,False
33,36047042700,36,0.9891,4,155,1.7548,0.9928,2410.6725,27.518,1.1785,0.0166,True,True,True,True,False
34,36047086600,36,0.9891,4,183,1.7486,0.988,2730.2571,32.0079,1.1786,0.0175,True,True,True,True,False
35,36061003300,36,0.9889,5,592,1.6926,0.9564,3994.7779,34.0469,1.2033,0.0275,True,True,True,True,True
36,36047044700,36,0.9888,5,178,1.7303,0.9693,2513.4859,26.9308,1.2191,0.0201,True,True,True,True,True
37,36081037700,36,0.9888,4,144,1.7639,0.9848,2293.305,25.8711,1.1981,0.0175,True,True,True,True,False
38,36047044100,36,0.9887,5,166,1.7349,0.9667,2644.3337,26.5814,1.2154,0.0184,True,True,True,True,True
39,36047073800,36,0.9887,4,247,1.7287,0.9563,3141.0311,31.8832,1.1912,0.019,True,True,True,True,False
